name,parent,value
categs,,
Enea si rivela a Didone,categs,11
Venere salva Elena,categs,2
Enea verso la penisola italica,categs,5
Arianna viene abbandonata da Teseo,categs,1
Enea abbandona Didone,categs,9
Fineo e le arpie,categs,1
Enea e i sogni rivelatori,categs,4
Venere e Anchise,categs,1
Il ciclope Polifemo,categs,1
Enea nella penisola italica,categs,12
Didone conduce Enea a palazzo,categs,1
Enea presenta Cupido nei panni di Ascanio a Didone,categs,5
Arianna e Dioniso s'incontrano,categs,1
Enea fugge da Troia in fiamme,categs,43
Gli dèi,categs,3
Didone allestisce un banchetto in onore di Enea,categs,2
Enea e i suoi vengono attaccati dalle Arpie,categs,2
Morte di Didone,categs,30
Vulcano,categs,3
Saghe familiari e epiche,categs,3
Enea nei Campi Elisi,categs,3
Didone,categs,10
Antigone sul sepolcro di Policine,categs,2
Nettuno salva Enea,categs,3
Venere e l'armatura di Enea,categs,9
Enea contro Turno,categs,4
Enea negli inferi,categs,10
Enea e Didone innamorati,categs,14
Enea e Acate sulla costa libica,categs,9
